departamentocodigo,departamentonombre,municipiocodigo,municipionombre,agente,bandera,producto,precio,Year,Month,Day
08,ATLANTICO,08001,BARRANQUILLA,ESTACION DE SERVICIO EL PORTAL,PUMA,GASOLINA CORRIENTE,6990,2016,3,30
52,NARIÑO,52250,EL CHARCO,GASOLINERA LA ESPERANZA,PETROMIL,GASOLINA CORRIENTE,6322,2016,4,1
73,TOLIMA,73861,VENADILLO,ESTACION DE SERVICIO VOS,CASAMOTOR,GASOLINA CORRIENTE,7380,2016,4,2
73,TOLIMA,73861,VENADILLO,ESTACION DE SERVICIO VOS,CASAMOTOR,BIODIESEL,7550,2016,4,2
76,VALLE DEL CAUCA,76834,TULUA,ESTACION DE SERVICIO TEXACO 22 PUENTE NEGRO,TEXACO,GASOLINA CORRIENTE,7750,2016,4,7
76,VALLE DEL CAUCA,76834,TULUA,ESTACION DE SERVICIO TEXACO 22 PUENTE NEGRO,TEXACO,BIODIESEL,7410,2016,4,7
23,CORDOBA,23001,MONTERIA,ESTACION DE SERVICIO LA MULERA,SAVE,BIODIESEL,7980,2016,4,27
23,CORDOBA,23001,MONTERIA,ESTACION DE SERVICIO LA MULERA,SAVE,GASOLINA EXTRA,8810,2016,4,27
23,CORDOBA,23001,MONTERIA,ESTACION DE SERVICIO LA MULERA,SAVE,GASOLINA CORRIENTE,7780,2016,4,27
05,ANTIOQUIA,05129,CALDAS,ESTACION DE SERVICIO PRIMAVERA,ZEUSS,BIODIESEL,8000,2016,5,3
05,ANTIOQUIA,05129,CALDAS,ESTACION DE SERVICIO PRIMAVERA,ZEUSS,GASOLINA CORRIENTE,8100,2016,5,3
27,CHOCO,27361,ISTMINA,ESTACION DE SERVICIO SERVIBRIOS LOS GUAMOS,BIOMAX,GASOLINA CORRIENTE,8555,2016,5,5
27,CHOCO,27361,ISTMINA,ESTACION DE SERVICIO SERVIBRIOS LOS GUAMOS,BIOMAX,BIODIESEL,8000,2016,5,5
25,CUNDINAMARCA,25594,QUETAME,ESTACION DE SERVICIO VILLA KARLA,OCTANO,GASOLINA CORRIENTE,7940,2016,5,11
25,CUNDINAMARCA,25594,QUETAME,ESTACION DE SERVICIO VILLA KARLA,OCTANO,BIODIESEL,7220,2016,5,11
41,HUILA,41006,ACEVEDO,ESTACION DE SERVICIO LA Y ACEVEDO,TERPEL,BIODIESEL,7990,2016,5,12
41,HUILA,41006,ACEVEDO,ESTACION DE SERVICIO LA Y ACEVEDO,TERPEL,GASOLINA CORRIENTE,8270,2016,5,12
68,SANTANDER,68377,LA BELLEZA,ESTACION DE SERVICIO EL ANGEL,OCTANO,BIODIESEL,8000,2016,6,3
68,SANTANDER,68377,LA BELLEZA,ESTACION DE SERVICIO EL ANGEL,OCTANO,GASOLINA CORRIENTE,8300,2016,6,3
05,ANTIOQUIA,05001,MEDELLIN,MOBIL GUAYABAL,MOBIL,GASOLINA CORRIENTE,7820,2016,7,2
05,ANTIOQUIA,05001,MEDELLIN,MOBIL GUAYABAL,MOBIL,BIODIESEL,7910,2016,7,2
27,CHOCO,27787,TADO,ESTACION DE SERVICIO LA TADOSEÑA,BIOMAX,BIODIESEL,8400,2016,7,6
27,CHOCO,27787,TADO,ESTACION DE SERVICIO LA TADOSEÑA,BIOMAX,GASOLINA CORRIENTE,8800,2016,7,6
08,ATLANTICO,08758,SOLEDAD,ESTACION DE SERVICIO PETRO LIGHT LTDA,PUMA,BIODIESEL,7360,2016,7,28
08,ATLANTICO,08758,SOLEDAD,ESTACION DE SERVICIO PETRO LIGHT LTDA,PUMA,GASOLINA CORRIENTE,7000,2016,7,28
66,RISARALDA,66170,DOSQUEBRADAS,COLVANES PEREIRA,PETROBRAS,BIODIESEL,6507,2016,8,1
76,VALLE DEL CAUCA,76892,YUMBO,ESTACION DE SERVICIO ENVIA COLVANES ACOPI,TEXACO,BIODIESEL,6483,2016,8,1
13,BOLIVAR,13042,ARENAL DEL SUR,ESTACION DE SERVICIO BUENAVISTA QF,TERPEL,GASOLINA CORRIENTE,8200,2016,8,2
41,HUILA,41551,PITALITO,ESTACION DE SERVICIO LA GRAN ESTACION,TERPEL,GASOLINA CORRIENTE,8195,2016,8,2
41,HUILA,41551,PITALITO,ESTACION DE SERVICIO LA GRAN ESTACION,TERPEL,BIODIESEL,7800,2016,8,2
13,BOLIVAR,13042,ARENAL DEL SUR,ESTACION DE SERVICIO BUENAVISTA QF,TERPEL,BIODIESEL,8400,2016,8,2
13,BOLIVAR,13001,CARTAGENA DE INDIAS,ESTACION DE SERVICIO AUTOMOTRIZ DISMARINA LTDA,ECOS,GASOLINA CORRIENTE,7800,2016,8,2
